type;Engine;Version;Status;Status Date;Next Status 1;Next Status date 1;Next Status 2;Next Status date 2;Next Minimum Version;Next Deprecated Date;Next Recommended Version;Next Deprecated Date
RDS;aurora-mysql;5.7.mysql_aurora.2;Supported;;Deprecated;2024-10-31;;;8.0.mysql_aurora.3.01.0;2027-05-01;8.0.mysql_aurora.3.05.0.1;2027-05-01
RDS;aurora-mysql;8.0.mysql_aurora.3;Supported;;Deprecated;2027-05-01;;;;;;
RDS;aurora-postgresql;9.6;Deprecated;2022-01-31;;;;;11;2024-02-29;12;2025-02-28
RDS;aurora-postgresql;10;Deprecated;2023-01-31;;;;;11;2024-02-29;12;2025-02-28
RDS;aurora-postgresql;11;Supported;;Deprecated;2024-02-29;;;12;2025-02-28;;
RDS;aurora-postgresql;12;Supported;;Deprecated;2025-02-28;;;13;2026-02-28;;
RDS;aurora-postgresql;13;Supported;;Deprecated;2026-02-28;;;14;2027-02-28;;
RDS;aurora-postgresql;14;Supported;;Deprecated;2027-02-28;;;15;2028-03-01;;
RDS;aurora-postgresql;15;Supported;;Deprecated;2028-03-01;;;;;;
RDS;mariadb;10.2;Deprecated;2022-10-15;;;;;;;;
RDS;mariadb;10.3;Deprecated;2023-10-23;;;;;;;;
RDS;mariadb;10.4;Supported;;Deprecated;2024-06-01;;;10.5;2025-06-01;10.5;2025-06-01
RDS;mariadb;10.5;Supported;;Deprecated;2025-06-01;;;10.6;2026-07-01;10.6;2026-07-01
RDS;mariadb;10.6;Supported;;Deprecated;2026-07-01;;;10.11;2028-02-01;10.11;2028-02-01
RDS;mariadb;10.11;Supported;;Deprecated;2028-02-01;;;;;;
RDS;mysql;5.6;Deprecated;2022-03-01;;;;;5.7;2024-02-29;8;2026-07-31
RDS;mysql;5.7;Supported;;Deprecated;2024-02-29;;;8;2026-07-31;;
RDS;mysql;8;Supported;;Deprecated;2026-07-31;;;;;;
RDS;postgres;9.6;Deprecated;2022-26-04;;;;;;;;
RDS;postgres;10;Deprecated;2023-04-17;;;;;;;;
RDS;postgres;11;Supported;;Deprecated;2024-02-29;;;12;2025-02-28;;
RDS;postgres;12;Supported;;Deprecated;2025-02-28;;;13;2026-02-28;;
RDS;postgres;13;Supported;;Deprecated;2026-02-28;;;14;2027-02-28;;
RDS;postgres;14;Supported;;Deprecated;2027-02-28;;;15;2028-02-29;;
RDS;postgres;15;Supported;;Deprecated;2028-02-29;;;;;;
